author,content,timestamp,message_id
notonft,bro i thought it was saturday all day today,2023-06-23T11:28:00.995000+00:00,1121763589074722918
notonft,<#896030201891409920>,2023-06-23T11:25:32.869000+00:00,1121762967789240401
notonft,send me ur seed phrase and we will send ordinal,2023-06-23T10:38:47.739000+00:00,1121751202221277245
notonft,<@833441409885405224> has to do it sorry,2023-06-23T10:36:26.266000+00:00,1121750608840495174
notonft,just open a ticket bud and put this info,2023-06-23T10:36:12.473000+00:00,1121750550988464219
notonft,,2023-06-23T10:22:28.360000+00:00,1121747094408019989
notonft,<#883932370774941706>,2023-06-23T10:17:01.054000+00:00,1121745721587138661
notonft,better than 14,2023-06-23T10:00:05.806000+00:00,1121741463328391269
notonft,https://tenor.com/view/peggy-heather-dubrow-real-housewives-gif-9424858,2023-06-23T09:25:36.833000+00:00,1121732785426665553
notonft,Gm,2023-06-23T08:50:16.771000+00:00,1121723893242138735
notonft,https://tenor.com/view/damn-you-skeletor-gif-11747628,2023-06-22T20:06:24.778000+00:00,1121531659930587207
notonft,fck i didnt sleep,2023-06-22T19:59:32.464000+00:00,1121529930560315523
notonft,"To @! Sk3llyFi$h  <@720354507816435793> [Solcasino.io] [Solcasino.io] and all the btc turtle raffle (that fucking scam ) winners (thieves) , CONGRATS 🍾🎊🎉… now stop rubbing it to our faces… wait for the role and enjoy it quietly, have a bit of decency god damn it. Now I gotta wait days to try and get drained again. @KANO don’t think I forgot about you, you’re in there as well, but you didn’t parade with the screenshot, so respect 🫡. I still think you got mine though, you thief. 👀",2023-06-22T19:59:28.526000+00:00,1121529914043150426
notonft,<#883932370774941706>,2023-06-22T19:57:35.188000+00:00,1121529438669115433
notonft,"I demand to be reimbursed, I’ve been drained 1.5 SOl by the btc turtle raffle, bought 15 tickets and got nothing in return. The fuck",2023-06-22T16:45:52.901000+00:00,1121481194580750347
notonft,Yellow hoods stop talking,2023-06-22T13:10:26.656000+00:00,1121426977979637830
notonft,It’s great bud,2023-06-22T12:23:11.125000+00:00,1121415084900614184
